GEOID,Total_population_e,NotHispanic_White_pop_e,Hispanic_or_Latino_population_e,Not_Hispanic_or_Latino_pop_e,OBJECTID
15000US060014272001,897,516,95,802,466
15000US060014272002,1771,560,459,1312,467
15000US060014272003,935,274,346,589,468
15000US060014272004,534,349,95,439,469
15000US060014272005,75,58,0,75,470
15000US060014273001,1496,752,409,1087,471
15000US060014273002,1113,402,71,1042,472
15000US060014273003,1274,408,122,1152,473
15000US060014273004,883,222,77,806,474
15000US060014273005,652,110,67,585,475
15000US060014276001,2732,710,295,2437,476
15000US060014276002,2324,420,298,2026,477
15000US060014276003,701,159,18,683,478
15000US060014277001,884,250,47,837,479
15000US060014277002,2322,1248,382,1940,480
15000US060014277003,1062,547,128,934,481
15000US060014277004,845,606,68,777,482
15000US060014278001,1059,373,151,908,483
15000US060014278002,976,819,0,976,484
15000US060014278003,747,530,0,747,485
15000US060014278004,800,353,77,723,486
15000US060014278005,1226,457,274,952,487
15000US060014279001,847,344,99,748,488
15000US060014279002,1438,837,205,1233,489
15000US060014279003,706,449,49,657,490
15000US060014279004,603,337,0,603,491
15000US060014279005,1584,438,374,1210,492
15000US060014280001,598,112,285,313,493
15000US060014280002,2424,840,247,2177,494
15000US060014281001,1642,895,177,1465,495
15000US060014281002,1033,680,174,859,496
15000US060014281003,1227,659,147,1080,497
15000US060014281004,935,619,113,822,498
15000US060014282001,1329,682,258,1071,499
15000US060014282002,1832,1123,32,1800,500
15000US060014282003,872,376,153,719,501
15000US060014282004,1256,492,158,1098,502
15000US060014282005,1050,815,42,1008,503
15000US060014283011,2248,787,274,1974,504
15000US060014283012,1044,385,131,913,505
15000US060014283013,824,320,160,664,506
15000US060014283014,2861,577,149,2712,507
15000US060014283021,2504,754,53,2451,508
15000US060014283022,2424,1328,97,2327,509
15000US060014283023,2276,1007,357,1919,510
15000US060014284001,1993,810,379,1614,511
15000US060014284002,920,345,158,762,512
15000US060014284003,1494,792,100,1394,513
15000US060014285001,2451,875,279,2172,514
15000US060014285002,697,496,67,630,515
15000US060014286001,1673,583,104,1569,516
15000US060014286002,475,235,69,406,517
15000US060014286003,1079,466,23,1056,518
15000US060014287001,2872,830,218,2654,519
15000US060014287002,1331,477,255,1076,520
15000US060014301011,1309,326,166,1143,521
15000US060014301012,2123,845,238,1885,522
15000US060014301013,3598,1242,146,3452,523
15000US060014301021,2224,1325,271,1953,524
15000US060014302001,1885,1009,306,1579,525
15000US060014302002,935,614,14,921,526
15000US060014302003,811,605,124,687,527
15000US060014302004,1642,1203,118,1524,528
15000US060014302005,1428,791,181,1247,529
15000US060014303001,1354,762,247,1107,530
15000US060014303002,1450,682,55,1395,531
15000US060014303003,1023,676,160,863,532
15000US060014304001,870,548,117,753,533
15000US060014304002,1231,635,250,981,534
15000US060014305001,2860,714,1022,1838,535
15000US060014305002,1408,379,293,1115,536
15000US060014305003,1737,502,386,1351,537
15000US060014306001,1041,393,408,633,538
15000US060014306002,1013,519,180,833,539
15000US060014306003,3042,1236,125,2917,540
15000US060014306004,935,446,220,715,541
15000US060014307001,805,615,113,692,542
15000US060014307002,1702,880,168,1534,543
15000US060014307003,1559,943,382,1177,544
15000US060014308001,713,291,283,430,545
15000US060014308002,1097,678,230,867,546
15000US060014308003,2225,1098,563,1662,547
15000US060014308004,2091,642,518,1573,548
15000US060014309001,1913,963,412,1501,549
15000US060014309002,3027,1187,763,2264,550
15000US060014310001,1067,419,330,737,551
15000US060014310002,1775,593,539,1236,552
15000US060014311001,1301,547,409,892,553
15000US060014311002,2096,703,713,1383,554
15000US060014312001,1096,659,90,1006,555
15000US060014312002,2593,701,808,1785,556
15000US060014312003,2074,1153,314,1760,557
15000US060014321001,1556,528,436,1120,558
15000US060014321002,1145,316,138,1007,559
15000US060014321003,982,619,125,857,560
15000US060014322001,921,300,335,586,561
15000US060014322002,938,273,285,653,562
15000US060014322003,2376,902,582,1794,563
15000US060014323001,1324,361,676,648,564
15000US060014323002,1045,196,620,425,565
15000US060014323003,2328,374,640,1688,566
15000US060014324001,1856,335,646,1210,567
15000US060014324002,2130,482,853,1277,568
15000US060014324003,2228,573,598,1630,569
15000US060014325011,1429,155,407,1022,570
15000US060014325012,948,261,241,707,571
15000US060014325013,2383,468,615,1768,572
15000US060014325021,2436,261,495,1941,573
15000US060014325022,1168,269,405,763,574
15000US060014325023,1293,138,540,753,575
15000US060014326001,863,205,250,613,576
15000US060014326002,1176,204,528,648,577
15000US060014326003,1172,313,483,689,578
15000US060014326004,782,419,156,626,579
15000US060014326005,3363,547,1015,2348,580
15000US060014327001,1067,612,218,849,581
15000US060014327002,883,256,431,452,582
15000US060014327003,920,413,181,739,583
15000US060014328001,667,394,79,588,584
15000US060014328002,1616,706,131,1485,585
15000US060014328003,1251,281,408,843,586
15000US060014330001,932,439,150,782,587
15000US060014330002,913,415,64,849,588
15000US060014330003,924,119,628,296,589
15000US060014330004,948,370,100,848,590
15000US060014331021,1872,196,875,997,591
15000US060014331022,2216,423,620,1596,592
15000US060014331031,2638,297,940,1698,593
15000US060014331032,1099,116,332,767,594
15000US060014331041,859,305,249,610,595
15000US060014331042,1089,124,319,770,596
15000US060014331043,2131,775,720,1411,597
15000US060014332001,1707,335,487,1220,598
15000US060014332002,2365,669,439,1926,599
15000US060014332003,1945,148,536,1409,600
15000US060014332004,1512,117,194,1318,601
15000US060014333001,1425,422,348,1077,602
15000US060014333002,827,187,113,714,603
15000US060014333003,2043,388,475,1568,604
15000US060014333004,1678,226,347,1331,605
15000US060014333005,1529,555,525,1004,606
15000US060014334001,1001,111,241,760,607
15000US060014334002,470,124,83,387,608
15000US060014334003,657,146,275,382,609
15000US060014334004,1721,261,334,1387,610
15000US060014334005,1395,96,0,1395,611
15000US060014334006,1268,555,12,1256,612
15000US060014335001,827,257,298,529,613
15000US060014335002,1306,187,509,797,614
15000US060014335003,1744,428,691,1053,615
15000US060014335004,1007,225,186,821,616
15000US060014336001,758,154,32,726,617
15000US060014336002,1923,321,362,1561,618
15000US060014336003,1479,587,213,1266,619
15000US060014336004,1501,212,437,1064,620
15000US060014337001,1205,272,628,577,621
15000US060014337002,1033,134,750,283,622
15000US060014337003,1043,130,467,576,623
15000US060014338001,900,58,327,573,624
15000US060014338002,2775,474,1409,1366,625
15000US060014338003,2249,490,357,1892,626
15000US060014338004,2637,355,819,1818,627
15000US060014339001,2093,105,721,1372,628
15000US060014339002,1469,110,677,792,629
15000US060014339003,1449,154,461,988,630
15000US060014339004,2569,139,1760,809,631
15000US060014340001,2479,422,1636,843,632
15000US060014340002,1197,162,584,613,633
15000US060014340003,1525,149,464,1061,634
15000US060014351021,2256,999,369,1887,635
15000US060014351022,3544,1190,758,2786,636
15000US060014351031,2938,1106,317,2621,637
15000US060014351032,2905,858,149,2756,638
15000US060014351033,856,103,142,714,639
15000US060014351041,1547,340,352,1195,640
15000US060014351042,3359,312,1383,1976,641
15000US060014351043,885,180,234,651,642
15000US060014352001,2195,515,745,1450,643
15000US060014352002,2360,718,327,2033,644
15000US060014353001,1489,473,475,1014,645
15000US060014353002,1761,500,729,1032,646
15000US060014353003,1217,292,39,1178,647
15000US060014354001,2015,498,895,1120,648
